news_url,image_url,title,text,source_name,date,topics,sentiment,type,tickers
https://seekingalpha.com/article/4640826-dividend-champion-contender-challenger-highlights-week-october-15,https://cdn.snapi.dev/images/v1/x/5/v/reit12-2103643.jpg,"Dividend Champion, Contender, And Challenger Highlights: Week Of October 15","A weekly summary of dividend activity for Dividend Champions, Contenders, and Challengers. Companies which changed their dividends. Companies with upcoming ex-dividend dates.",Seeking Alpha,"Sat, 14 Oct 2023 11:18:03 -0400","['dividend', 'paylimitwall']",Neutral,Article,"['ADC', 'AOS', 'APOG', 'AXS', 'CAT', 'CL', 'CPT', 'DGX', 'ERIE', 'EVBN', 'FLIC', 'FMAO', 'FMC', 'FNLC', 'FUL', 'GAIN', 'GBCI', 'GHC', 'GSBC', 'HBNC', 'INTU', 'LAND', 'LMT', 'NWN', 'OZK', 'PG', 'PNR', 'RBCAA', 'RGLD', 'ROP', 'RPM', 'RVSB', 'SCVL', 'SGU', 'THO', 'TR', 'TTC', 'WDFC', 'WSM', 'XEL']"
https://finbold.com/ai-predicts-lockheed-martin-stock-price-for-the-end-of-2023/?utm_source=snapi,https://cdn.snapi.dev/images/v1/f/9/o/aero1-2103618.jpg,AI predicts Lockheed Martin stock price for the end of 2023,"With the ongoing Russia-Ukraine conflict and a recent escalation of long-standing tensions in the Middle East, notably through a significant Hamas-led terrorist attack on Israel over the last weekend, it's unsurprising that there's a heightened demand for defense and military stocks.",Finbold,"Sat, 14 Oct 2023 08:45:59 -0400",[],Positive,Article,['LMT']
https://www.wsj.com/articles/lockheed-martin-paramount-global-jpmorgan-stocks-that-defined-the-week-549b9eb6,https://cdn.snapi.dev/images/v1/l/u/7/bank19-2103349.jpg,"The Score: Lockheed Martin, Paramount Global, JPMorgan Chase and More Stocks That Defined the Week",Here are some of the major companies whose stocks moved on the week's news.,WSJ,"Fri, 13 Oct 2023 17:58:00 -0400",['paywall'],Neutral,Article,"['JPM', 'LMT', 'PSKY']"
https://www.zacks.com/stock/news/2165595/lockheed-lmt-wins-379-6-contract-to-supply-mh-60r-helicopters,https://cdn.snapi.dev/images/v1/n/i/n/aero5-2102758.jpg,Lockheed (LMT) Wins $379.6 Contract to Supply MH-60R Helicopters,Lockheed (LMT) secures a $379.6 million contract to deliver eight MH-60R helicopters for the government of Spain.,Zacks Investment Research,"Fri, 13 Oct 2023 11:16:55 -0400",[],Positive,Article,['LMT']
https://www.forbes.com/sites/greatspeculations/2023/10/13/analyzing-lockheed-martins-dividend-growth-potential/,https://cdn.snapi.dev/images/v1/3/a/g/analyzing-lockheed-martins-div-2102578.jpg,Analyzing Lockheed Martin's Dividend Growth Potential,Lockheed Martin Corp (LMT) is the featured stock in September's Dividend Growth Stocks Model Portfolio.,Forbes,"Fri, 13 Oct 2023 09:39:42 -0400","['dividend', 'paylimitwall']",Neutral,Article,['LMT']
https://www.fool.com/investing/2023/10/13/a-bull-market-is-coming-3-top-stocks-to-buy-now/,https://cdn.snapi.dev/images/v1/x/b/l/aero15-2102325.jpg,A Bull Market Is Coming: 3 Top Stocks to Buy Now,Higher oil prices are boosting ExxonMobil's profits. Lockheed Martin provides vital defensive systems.,The Motley Fool,"Fri, 13 Oct 2023 07:45:00 -0400",['StocksToWatch'],Positive,Article,"['LMT', 'PXD', 'XOM']"
https://www.zacks.com/stock/news/2164800/the-zacks-analyst-blog-lockheed-martin-rtx-boeing-and-l3harris-technologies,https://cdn.snapi.dev/images/v1/x/v/r/aero4-2100865.jpg,"The Zacks Analyst Blog Lockheed Martin, RTX, Boeing and L3Harris Technologies","Lockheed Martin, RTX, Boeing and L3Harris Technologies are part of the Zacks top Analyst Blog.",Zacks Investment Research,"Thu, 12 Oct 2023 09:46:43 -0400",[],Neutral,Article,"['BA', 'LHX', 'LMT', 'RTX']"
https://www.marketbeat.com/originals/defense-stocks-are-heating-up-heres-the-top-3/?utm_source=snapi,https://cdn.snapi.dev/images/v1/0/z/w/aero13-2100222.jpg,Defense Stocks Are Heating Up: Here's the Top 3,"Despite having plunged more than 10% through September and into October, the iShares U.S. Aerospace & Defense ETF BATS: ITA has been bouncing back hard this week.",MarketBeat,"Thu, 12 Oct 2023 06:25:09 -0400",[],Positive,Article,"['GD', 'LMT', 'NOC']"
https://www.youtube.com/watch?v=SZ0_WpLL5tE,https://cdn.snapi.dev/images/v1/t/z/f/aero6-2099643.jpg,Here's why Capital Wealth's Kevin Simpson trimmed his Lockheed Martin's position,"Kevin Simpson, Capital Wealth Planning founder and CIO, joins 'Closing Bell' to discuss the demand for high dividend stocks, the underperformance of General Mills, and more.",CNBC Television,"Wed, 11 Oct 2023 16:13:58 -0400",[],Negative,Video,['LMT']
https://www.gurufocus.com/news/2103197/5-undervalued-predictable-industrial-stocks-to-consider-in-october,https://cdn.snapi.dev/images/v1/v/7/p/services1-2099620.jpg,5 Undervalued Predictable Industrial Stocks to Consider in October,"Market indexes were up on Wednesday morning following higher-than-expected inflation data and the announcement of Exxon Mobil Corp.'s (XOM, Financial) $59.5 billion merger with Pioneer Natural Resources Co. (PXD, Financial).",GuruFocus,"Wed, 11 Oct 2023 16:13:33 -0400",[],Positive,Article,"['EME', 'LMT', 'PGTI', 'SNA', 'UPS']"
